id,epic,work_package,phase,target_weeks,owner,dependencies,feature_ids,prototype,acceptance
WP-042,E12,统一冲突状态机,M1-M2,W11-W14,C,WP-031,CONFLICT-01,P07,merge rebase cherry-pick 共享状态模型
WP-043,E12,三方 Merge 数据模型与 diff3,M2,W13-W16,B,WP-022 WP-042,CONFLICT-02,P07,Base Ours Theirs Result 正确
WP-044,E12,Merge Tool 编辑 hunk 采用与导航,M2,W15-W18,B,WP-043,CONFLICT-03,P07,保存后 diff-check 与 unmerged index 复核
WP-045,E12,外部 Merge Tool 适配,M2,W18-W19,A,WP-042,CONFLICT-04,P07,首发适配名单通过 smoke
WP-046,E13,Worktree 管理与共享 refs 协调,M3,W23-W25,C,WP-011,ADV-01,P05,创建锁定删除和 dirty 保护正确
WP-047,E13,Submodule 管理,M3,W24-W26,C,WP-011,ADV-02,P05,init update pointer delete fixture 通过
WP-048,E13,LFS 检测 track fetch prune,M3,W24-W27,C,WP-004,ADV-03,P05 P10,捆绑 LFS 与自定义 Git 兼容
WP-049,E13,Hooks signing maintenance,M3,W25-W28,C,WP-027,ADV-05 ADV-06,P09 P10,hook 取消输出和 maintenance 安全
WP-050,E14,欢迎仓库中心最近收藏,M1-M3,W5-W27,A,WP-010,APP-01 APP-02 APP-03 APP-04 APP-06,P01,100 最近仓库不阻塞启动
WP-051,E14,多标签窗口恢复 Local Workspace,M1-M3,W7-W28,A,WP-013,APP-05 COLLAB-01,P01 P03,崩溃后恢复且共享 refs 状态一致
WP-052,E14,Action Registry Palette 菜单快捷键,M1,W7-W12,A,WP-001,TERM-01 TERM-02,P11,主路径键盘可完成且禁用原因可读
WP-053,E14,CLI Launcher Finder 外部编辑器,M1-M3,W10-W27,A,WP-050,APP-09 TERM-04,P01,路径参数安全且三入口打开同仓库
WP-054,E14,主题布局 Graph 字段设置,M3,W26-W28,A,WP-018,APP-08,P03 P10,深浅模式和布局持久化
WP-055,E15,Operation Console 与活动日志,M1,W9-W12,A,WP-008 WP-009,APP-11,P09,运行成功失败取消均可观察
WP-056,E15,Crash 报告诊断包与隐私,M2,W17-W20,A,WP-009,SEC-05,P09 P10,默认关闭且导出前可预览
WP-057,E15,Sparkle 2 自动更新,M3,W24-W29,A,WP-006,APP-12,P10,签名更新关闭检查与失败回退通过
WP-058,E16,S M L fixture generator,M0,W1-W4,QA,WP-002,横切,P02 P03 P04,规模与 PRD 定义一致且可重复
WP-059,E16,性能采集与 10% 回归门禁,M0-M3,W3-W30,B QA,WP-058,横切,P02 P03 P04,PR nightly 报告自动生成
WP-060,E16,30 个高风险 mutation fixtures,M1-M3,W6-W28,QA C,WP-008,横切,P05 P06 P07 P12,状态复核与恢复验证 100%
WP-061,E17,Developer ID Hardened Runtime 公证,M3,W26-W29,A,WP-001,SEC-04,P10,安装包签名公证 stapled
WP-062,E17,发布回滚演练与 RC,M3,W28-W30,A QA,WP-057 WP-061,横切,ALL,安装升级回滚和 appcast 全通过
WP-063,E15,本地优先与无账户依赖边界,M0-M3,W2-W30,A C,WP-008,SEC-02,P01 P05 P10,本地核心工作流不要求账户且除 Remote 与更新外不依赖网络
